date,no2_ug_m3,o3_ug_m3
2017-06-07,21.996000000000002,86.24
2017-06-08,16.919999999999998,68.208
2017-06-09,24.816,44.492000000000004
2017-06-10,17.3336,43.903999999999996
2017-06-11,10.8664,61.544
2017-06-12,23.875999999999998,47.236
2017-06-13,31.208000000000002,53.312
2017-06-14,44.18,59.976
2017-06-15,45.12,57.232
2017-06-16,43.428,64.092
2017-06-17,29.14,77.812
2017-06-18,33.276,56.644
2017-06-19,33.464,48.216
2017-06-20,32.336,52.92
2017-06-21,30.644,47.432
2017-06-22,23.875999999999998,40.572
2017-06-23,23.311999999999998,50.96
2017-06-24,18.8,66.052
2017-06-25,30.080000000000002,61.151999999999994
2017-06-26,46.436,44.688
2017-06-27,37.976,54.488
2017-06-28,29.892000000000003,52.92
2017-06-29,23.875999999999998,68.404
2017-06-30,24.439999999999998,68.60000000000001
2017-07-01,21.62,76.244
2017-07-02,13.536,80.94800000000001
2017-07-03,28.2,71.53999999999999
2017-07-04,28.012,62.132
2017-07-05,34.216,55.86
2017-07-06,39.668,59.388
2017-07-07,58.844,70.364
2017-07-08,42.488,77.42
2017-07-09,20.868000000000002,71.34400000000001
2017-07-10,31.584,52.528
2017-07-11,23.5,44.688
2017-07-12,21.62,47.236
2017-07-13,23.875999999999998,45.864000000000004
2017-07-14,27.636,46.06
2017-07-15,31.772,52.92
2017-07-16,21.62,66.052
2017-07-17,26.508,47.04
2017-07-18,28.576,51.352000000000004
2017-07-19,28.764,58.016000000000005
2017-07-20,36.66,39.2
2017-08-10,18.386400000000002,90.55199999999999
2017-08-11,24.064,60.172000000000004
2017-08-12,25.756,74.676
2017-08-13,14.4948,84.476
2017-08-14,18.612000000000002,75.264
2017-08-15,20.492,47.236
2017-08-16,19.176000000000002,56.644
2017-08-17,28.012,51.744
2017-08-18,24.252,49.588
2017-08-19,13.9684,66.64
2017-08-20,13.028400000000001,70.16799999999999
2017-08-21,10.9604,65.072
2017-08-22,24.816,47.628
2017-08-23,18.5744,53.9
2017-08-24,20.116,66.24799999999999
2017-08-25,28.388,70.364
2017-08-26,24.439999999999998,81.928
2017-08-27,23.5,66.64
2017-08-28,49.632,49.98
2017-08-29,57.339999999999996,63.112
2017-08-30,59.032,71.932
2017-08-31,62.792,61.74
2017-09-01,53.392,72.324
2017-09-02,65.048,37.828
2017-09-03,23.875999999999998,60.76
2017-09-04,14.532399999999999,61.151999999999994
2017-09-05,17.86,52.92
2017-09-06,39.856,40.18
2017-09-07,38.728,45.864000000000004
2017-09-08,29.516,51.744
2017-09-09,20.116,77.22399999999999
2017-09-10,35.344,59.78
2017-09-11,43.052,56.448
2017-09-12,18.33,61.93600000000001
2017-09-13,19.740000000000002,58.016000000000005
2017-09-14,23.311999999999998,47.04
2017-09-15,32.336,43.316
2017-09-16,23.875999999999998,57.82
2017-09-17,14.250399999999999,78.988
2017-09-18,19.552,70.756
2017-09-19,20.304000000000002,87.612
2017-09-20,13.16,76.44
2017-09-21,23.5,49.98
2017-09-22,31.020000000000003,38.808
2017-09-23,23.875999999999998,74.48
2017-09-24,33.652,64.68
2017-09-25,36.66,71.34400000000001
2017-09-26,58.28,51.94
2017-09-27,69.56,33.712
2017-09-28,58.28,72.324
2017-09-29,57.152,63.895999999999994
2017-09-30,30.644,72.324
2017-10-01,11.28,79.968
2017-10-02,29.14,65.66000000000001
2017-10-03,30.644,49.98
2017-10-04,48.879999999999995,41.160000000000004
2017-10-05,47.188,75.656
2017-10-06,78.772,61.151999999999994
2017-10-07,56.964,77.22399999999999
2017-10-08,40.984,46.06
2017-10-09,27.26,84.868
2017-10-10,41.924,61.74
2017-10-11,39.291999999999994,43.512
2017-10-12,25.38,68.992
2017-10-13,50.76,45.864000000000004
2017-10-14,50.572,57.623999999999995
2017-10-15,58.092,75.264
2017-10-16,71.628,48.216
2017-10-17,73.32,46.648
2017-10-18,53.392,70.95200000000001
2017-10-19,52.828,50.763999999999996
2017-10-20,33.276,49.588
2017-10-21,46.812,40.18
2017-10-22,48.879999999999995,39.788
2017-10-23,71.816,36.064
2017-10-24,66.74,26.656
2017-10-25,51.135999999999996,60.564
2017-10-26,71.44,50.96
2017-10-27,50.76,63.30800000000001
2017-10-28,40.044,69.58
2017-10-29,22.936,79.968
2017-10-30,22.936,73.304
2017-10-31,20.304000000000002,66.64
2017-11-01,28.012,52.724000000000004
2017-11-02,21.244,59.388
2017-11-03,21.996000000000002,58.8
2017-11-04,23.875999999999998,35.672000000000004
2017-11-05,9.4,70.55999999999999
2017-11-06,33.839999999999996,45.08
2017-11-07,43.24,54.88
2017-11-08,33.839999999999996,30.184
2017-11-09,31.396,16.9932
2017-11-10,28.764,48.02
2017-11-11,42.676,47.04
2017-11-12,43.24,25.872
2017-11-13,57.716,31.36
2017-11-14,72.38,40.18
2017-11-15,83.66,39.592
2017-11-16,67.304,22.148
2017-11-17,36.472,27.44
2017-11-19,68.99600000000001,12.406799999999999
2017-11-20,79.9,45.08
2017-11-21,72.944,37.632
2017-11-22,68.244,26.852
2017-11-23,35.72,70.55999999999999
2017-11-24,97.75999999999999,1.96
2017-11-25,66.176,31.36
2017-11-26,46.623999999999995,32.34
2017-11-28,60.160000000000004,35.279999999999994
2017-11-29,54.52,45.08
2017-11-30,73.32,16.66
2017-12-01,61.476,31.947999999999997
2017-12-02,60.160000000000004,26.852
2017-12-03,39.104,46.256
2017-12-04,59.22,33.32
2017-12-05,68.244,29.4
2017-12-06,62.040000000000006,80.36
2017-12-07,91.556,4.9
2017-12-08,63.544,32.144000000000005
2017-12-09,59.784000000000006,30.575999999999997
2017-12-10,60.724000000000004,18.2868
2017-12-11,75.2,3.92
2017-12-12,84.03599999999999,5.2332
2017-12-13,72.004,24.892
2017-12-14,79.9,15.68
2017-12-15,59.784000000000006,42.532000000000004
2017-12-16,59.032,27.636
2017-12-17,50.007999999999996,22.735999999999997
2017-12-18,64.296,11.76
2017-12-19,66.74,3.92
2017-12-20,7.5200000000000005,76.44
2017-12-21,13.16,71.148
2017-12-22,86.48,3.92
2017-12-23,69.93599999999999,10.975999999999999
2017-12-24,55.459999999999994,20.580000000000002
2017-12-25,99.64,3.92
2017-12-27,92.12,28.028
2017-12-28,74.44800000000001,34.104
2017-12-29,84.6,3.92
2017-12-30,56.4,25.48
2017-12-31,50.007999999999996,27.832
2018-01-01,58.467999999999996,38.808
2018-01-02,76.892,17.4048
2018-01-03,83.096,4.214
2018-01-04,76.892,23.128
2018-01-05,53.392,13.6024
2018-01-06,42.676,10.290000000000001
2018-01-07,30.456,6.86
2018-01-09,11.28,35.279999999999994
2018-01-10,49.82,2.94
2018-01-11,59.596,13.0732
2018-01-12,78.396,6.86
2018-01-13,45.684,43.316
2018-01-14,64.296,24.5
2018-01-15,64.86,49.0
2018-01-16,62.040000000000006,1.96
2018-01-17,69.56,17.3068
2018-01-18,53.580000000000005,13.72
2018-01-19,35.72,28.42
2018-01-20,13.4796,64.092
2018-01-21,42.676,24.5
2018-01-22,47.94,30.38
2018-01-23,76.70400000000001,4.9
2018-01-24,63.92,19.6
2018-01-25,18.8,66.64
2018-01-26,48.879999999999995,38.22
2018-01-27,65.80000000000001,3.92
2018-01-28,31.96,64.68
2018-01-29,25.38,60.76
2018-01-30,62.980000000000004,2.94
2018-01-31,77.644,13.72
2018-02-01,75.2,1.96
2018-02-03,73.32,3.92
2018-02-04,60.536,59.584
2018-02-05,52.64,72.52
2018-02-06,45.12,76.44
2018-02-07,71.44,1.96
2018-02-08,58.28,54.88
2018-02-09,65.80000000000001,1.96
2018-02-10,13.16,79.968
2018-02-11,43.24,1.96
2018-02-13,39.104,44.492000000000004
2018-02-14,50.572,33.712
2018-02-15,57.152,29.204
2018-02-16,48.692,43.708
2018-02-17,46.248,44.688
2018-02-18,27.072,58.995999999999995
2018-02-19,8.3848,77.42
2018-02-20,27.824,58.408
2018-02-21,34.967999999999996,53.9
2018-02-22,21.62,68.79599999999999
2018-02-23,12.2764,74.48
2018-02-24,38.352000000000004,45.275999999999996
2018-02-25,39.480000000000004,39.2
2018-02-27,21.996000000000002,55.272
2018-03-01,17.86,69.58
2018-03-02,25.38,43.12
2018-03-03,13.7804,66.052
2018-03-04,20.868000000000002,62.523999999999994
2018-03-05,46.06,40.964
2018-03-06,64.86,0.0
2018-03-07,71.44,15.68
2018-03-08,63.544,45.864000000000004
2018-03-09,46.06,24.892
2018-03-10,20.116,35.083999999999996
2018-03-11,20.492,38.416
2018-03-12,26.508,29.988
2018-03-13,25.003999999999998,28.811999999999998
2018-03-14,11.092,63.895999999999994
2018-03-15,18.33,67.032
2018-03-16,23.875999999999998,50.568
2018-03-17,10.34,68.60000000000001
2018-03-18,24.439999999999998,50.96
2018-03-19,40.796,55.467999999999996
2018-03-20,48.316,41.748
2018-03-21,45.495999999999995,29.4
2018-03-22,34.028000000000006,23.324
2018-03-23,17.39,52.724000000000004
2018-03-24,15.416000000000002,66.836
2018-03-25,13.874400000000001,70.756
2018-03-26,15.867199999999999,75.656
2018-03-27,43.992000000000004,54.88
2018-03-28,46.06,51.94
2018-03-29,47.751999999999995,48.412
2018-03-30,56.964,26.852
2018-03-31,35.156000000000006,58.995999999999995
2018-04-01,24.064,64.87599999999999
2018-04-02,16.6568,83.104
2018-04-03,19.740000000000002,72.91199999999999
2018-04-04,31.584,47.236
2018-04-05,35.908,46.06
2018-04-06,33.088,50.763999999999996
2018-04-07,24.252,36.455999999999996
2018-04-08,24.816,52.724000000000004
2018-04-09,57.904,48.803999999999995
2018-04-10,45.12,99.372
2018-04-11,43.804,51.94
2018-04-12,15.510000000000002,86.436
2018-04-13,34.592,74.48
2018-04-14,28.2,98.0
2018-04-15,29.892000000000003,77.812
2018-04-16,21.996000000000002,67.424
2018-04-17,16.544,79.576
2018-04-18,14.288,81.144
2018-04-19,19.740000000000002,64.68
2018-04-20,33.464,40.768
2018-04-21,45.12,56.252
2018-04-22,39.480000000000004,52.92
2018-04-23,38.728,62.523999999999994
2018-04-24,46.06,54.88
2018-04-25,21.62,84.868
2018-04-26,22.56,73.696
2018-04-27,23.688,69.384
2018-04-28,28.2,54.684000000000005
2018-04-29,15.3784,73.696
2018-04-30,17.578000000000003,74.48
2018-05-01,24.064,73.5
2018-05-02,23.875999999999998,64.28800000000001
2018-05-03,39.480000000000004,42.728
2018-05-04,48.316,54.88
2018-05-05,57.528,32.536
2018-05-06,33.464,65.856
2018-05-07,34.216,70.756
2018-05-08,37.6,65.072
2018-05-09,30.644,59.584
2018-05-10,29.704000000000004,59.976
2018-05-11,19.552,61.544
2018-05-12,15.867199999999999,71.34400000000001
2018-05-13,6.8996,78.204
2018-05-14,24.816,50.568
2018-05-15,28.388,45.275999999999996
2018-05-16,28.388,50.176
2018-05-17,23.688,58.016000000000005
2018-05-18,15.040000000000001,63.7
2018-05-19,21.808,57.623999999999995
2018-05-20,10.7912,73.304
2018-05-21,21.432000000000002,55.467999999999996
2018-05-22,22.372,54.096
2018-05-23,16.450000000000003,59.976
2018-05-24,17.145599999999998,60.564
2018-05-25,12.896799999999999,60.368
2018-05-26,15.397199999999998,56.84
2018-05-27,14.250399999999999,62.132
2018-05-28,11.5808,72.128
2018-05-29,22.184,60.955999999999996
2018-05-30,19.740000000000002,49.588
2018-05-31,20.304000000000002,55.272
2018-06-01,29.892000000000003,47.824000000000005
2018-06-02,30.080000000000002,60.76
2018-06-03,22.936,57.036
2018-06-04,28.576,60.76
2018-06-05,21.056,63.895999999999994
2018-06-06,18.2548,71.34400000000001
2018-06-07,27.824,62.328
2018-06-08,43.804,53.312
2018-06-09,31.020000000000003,56.84
2018-06-10,18.123199999999997,68.404
2018-06-11,31.96,67.424
2018-06-12,31.584,60.955999999999996
2018-06-13,38.163999999999994,49.784
2018-06-14,32.900000000000006,63.112
2018-06-15,30.456,53.704
2018-06-16,11.28,64.87599999999999
2018-06-17,6.58,63.30800000000001
2018-06-18,10.9604,61.544
2018-06-19,17.4276,60.172000000000004
2018-06-20,31.020000000000003,61.74
2018-06-21,25.192,75.85199999999999
2018-06-22,26.696,70.16799999999999
2018-06-23,14.0624,69.188
2018-06-24,10.2648,65.66000000000001
2018-06-25,16.4876,58.408
2018-06-26,17.483999999999998,63.7
2018-06-27,28.388,63.504
2018-06-28,25.944,54.488
2018-06-29,17.39,66.836
2018-06-30,12.7276,64.092
2018-07-01,12.7088,63.30800000000001
2018-07-02,11.9944,61.151999999999994
2018-07-03,15.5288,58.212
2018-07-04,10.528,69.384
2018-07-05,28.952,57.036
2018-07-06,51.888,60.172000000000004
2018-07-07,34.967999999999996,86.24
2018-07-08,26.884,77.812
2018-07-09,38.728,34.104
2018-07-10,24.628,40.964
2018-07-11,28.2,43.903999999999996
2018-07-12,18.988,45.668
2018-07-13,13.874400000000001,51.156000000000006
2018-07-14,14.626399999999999,47.628
2018-07-15,15.397199999999998,53.704
2018-07-16,21.62,49.98
2018-07-17,9.7196,55.272
2018-07-18,21.996000000000002,50.96
2018-07-19,26.32,44.492000000000004
2018-07-20,13.9496,46.452
2018-07-21,9.080400000000001,47.04
2018-07-22,18.2924,41.356
2018-07-23,36.66,49.98
2018-07-24,38.352000000000004,56.252
2018-07-25,28.2,61.151999999999994
2018-07-26,27.072,50.763999999999996
2018-07-27,29.328,65.072
2018-07-28,20.116,63.7
2018-07-29,20.116,66.24799999999999
2018-07-30,22.936,48.803999999999995
2018-07-31,24.252,47.628
2018-08-01,21.62,43.512
2018-08-02,23.124,41.552
2018-08-03,33.839999999999996,40.572
2018-08-04,27.072,47.236
2018-08-05,25.756,58.212
2018-08-06,39.291999999999994,61.93600000000001
2018-08-07,46.623999999999995,57.428
2018-08-08,27.448,57.036
2018-08-09,32.900000000000006,49.0
2018-08-10,41.36,42.336000000000006
2018-08-11,22.56,41.356
2018-08-12,11.373999999999999,47.628
2018-08-13,23.124,35.672000000000004
2018-08-14,18.386400000000002,42.336000000000006
2018-08-15,20.868000000000002,49.196000000000005
2018-08-16,13.16,62.328
2018-08-17,21.808,54.096
2018-08-18,18.142,59.192
2018-08-19,14.3256,71.148
2018-08-20,19.176000000000002,62.328
2018-08-21,18.8,51.744
2018-08-22,17.296,65.856
2018-08-23,23.5,68.404
2018-08-24,22.56,66.444
2018-08-25,21.996000000000002,75.46
2018-08-26,10.622,87.024
2018-08-27,17.2396,74.872
2018-08-28,23.875999999999998,51.94
2018-08-29,32.524,44.884
2018-09-06,14.532399999999999,69.188
2018-09-07,26.696,63.112
2018-09-08,28.952,74.48
2018-09-09,39.291999999999994,40.376
2018-09-10,24.628,66.444
2018-09-11,26.32,65.268
2018-09-12,23.311999999999998,73.108
2018-09-13,41.736000000000004,53.508
2018-09-14,59.596,46.648
2018-09-15,34.216,39.984
2018-09-16,31.020000000000003,57.82
2018-09-17,44.368,42.532000000000004
2018-09-18,43.804,48.608
2018-09-19,41.36,49.0
2018-09-20,42.864000000000004,41.160000000000004
2018-09-21,27.824,54.488
2018-09-22,21.62,67.62
2018-09-23,20.304000000000002,66.052
2018-09-24,25.756,49.588
2018-09-25,20.304000000000002,51.94
2018-09-26,28.764,54.291999999999994
2018-09-27,39.480000000000004,49.196000000000005
2018-09-28,38.163999999999994,56.252
2018-09-29,16.1304,73.696
2018-09-30,25.756,50.568
2018-10-01,32.524,38.22
2018-10-02,34.216,30.184
2018-10-03,20.68,29.792
2018-10-04,15.8484,29.008000000000003
2018-10-05,27.824,35.083999999999996
2018-10-06,24.064,46.256
2018-10-07,16.1116,60.368
2018-10-08,23.311999999999998,56.84
2018-10-09,17.3524,57.82
2018-10-10,21.62,49.588
2018-10-11,34.216,28.42
2018-10-12,30.456,46.452
2018-10-13,14.6452,49.588
2018-11-21,41.924,45.471999999999994
2018-11-22,17.991600000000002,41.748
2018-11-23,33.276,26.852
2018-11-24,37.6,23.716
2018-11-25,31.020000000000003,32.536
2018-11-26,52.076,26.852
2018-11-27,55.083999999999996,22.932000000000002
2018-11-28,41.172,30.184
2018-11-29,28.576,40.768
2018-11-30,27.824,36.26
2018-12-01,28.764,33.516
2018-12-02,13.5172,62.916
2018-12-03,48.879999999999995,25.872
2018-12-04,57.528,19.3256
2018-12-05,41.924,27.244
2018-12-06,31.020000000000003,33.712
2018-12-07,41.172,19.2668
2018-12-08,39.104,26.46
2018-12-09,38.352000000000004,21.364
2018-12-10,53.016,9.0748
2018-12-11,55.836,12.74
2018-12-12,47.751999999999995,20.188
2018-12-13,53.016,8.819999999999999
2018-12-15,35.72,49.0
2018-12-16,40.608000000000004,32.732
2018-12-17,28.576,32.144000000000005
2018-12-18,35.908,17.9732
2018-12-19,54.52,13.1516
2018-12-20,59.784000000000006,14.0532
2018-12-21,68.61999999999999,8.486799999999999
2018-12-22,58.092,12.8184
2018-12-23,50.572,19.992
2018-12-24,42.3,27.636
2018-12-25,6.9748,62.72
2018-12-26,40.419999999999995,25.872
2018-12-27,33.839999999999996,33.712
2018-12-28,31.396,45.864000000000004
2018-12-29,51.7,19.796
2018-12-30,48.879999999999995,20.776
