timestamp,rh2m
2025093000,63.08
2025093001,71.68
2025093002,79.96
2025093003,84.48
2025093004,86.18
2025093005,85.6
2025093006,85.44
2025093007,86.42
2025093008,85.56
2025093009,84.75
2025093010,84.25
2025093011,84.04
2025093012,84.62
2025093013,85.29
2025093014,84.8
2025093015,80.59
2025093016,71.29
2025093017,62.56
2025093018,56.8
2025093019,51.5
2025093020,48.07
2025093021,47.47
2025093022,49.33
2025093023,54.04
2025100100,61.59
2025100101,70.85
2025100102,79.81
2025100103,86.79
2025100104,90.37
2025100105,90.88
2025100106,90.83
2025100107,91.07
2025100108,92.05
2025100109,93.31
2025100110,93.34
2025100111,93.71
2025100112,94.67
2025100113,94.65
2025100114,92.47
2025100115,84.9
2025100116,72.51
2025100117,59.84
2025100118,54.02
2025100119,50.44
2025100120,47.95
2025100121,46.77
2025100122,47.41
2025100123,49.74
2025100200,54.08
2025100201,61.82
2025100202,71.27
2025100203,78.2
2025100204,82.3
2025100205,84.59
2025100206,84.29
2025100207,83.25
2025100208,83.19
2025100209,84.41
2025100210,86.38
2025100211,87.87
2025100212,88.02
2025100213,87.05
2025100214,85.32
2025100215,78.79
2025100216,64.47
2025100217,55.42
2025100218,48.44
2025100219,45.44
2025100220,43.03
2025100221,42.78
2025100222,44.48
2025100223,47.5