timestamp,t2m
2025093000,22.34
2025093001,20.51
2025093002,18.94
2025093003,18.04
2025093004,17.58
2025093005,17.46
2025093006,17.38
2025093007,17.17
2025093008,17.02
2025093009,16.89
2025093010,16.76
2025093011,16.62
2025093012,16.49
2025093013,16.37
2025093014,16.42
2025093015,17.0
2025093016,18.29
2025093017,19.75
2025093018,21.03
2025093019,22.41
2025093020,23.52
2025093021,23.97
2025093022,23.74
2025093023,22.92
2025100100,21.61
2025100101,20.0
2025100102,18.58
2025100103,17.59
2025100104,17.19
2025100105,17.23
2025100106,17.32
2025100107,17.26
2025100108,17.03
2025100109,16.73
2025100110,16.6
2025100111,16.42
2025100112,16.17
2025100113,16.01
2025100114,16.15
2025100115,17.19
2025100116,19.04
2025100117,21.1
2025100118,22.45
2025100119,23.49
2025100120,24.28
2025100121,24.77
2025100122,24.71
2025100123,24.05
2025100200,22.79
2025100201,20.94
2025100202,19.16
2025100203,17.99
2025100204,17.32
2025100205,16.92
2025100206,16.83
2025100207,16.81
2025100208,16.63
2025100209,16.27
2025100210,15.78
2025100211,15.41
2025100212,15.28
2025100213,15.35
2025100214,15.63
2025100215,16.91
2025100216,19.7
2025100217,21.84
2025100218,23.63
2025100219,24.96
2025100220,25.75
2025100221,25.78
2025100222,25.28
2025100223,24.4